Participant_ID,Mean_Accuracy,Mean_ResponseTime,Gender,Delta_TP9_mean,Delta_AF7_mean,Delta_AF8_mean,Delta_TP10_mean,Theta_TP9_mean,Theta_AF7_mean,Theta_AF8_mean,Theta_TP10_mean,Alpha_TP9_mean,Alpha_AF7_mean,Alpha_AF8_mean,Alpha_TP10_mean,Beta_TP9_mean,Beta_AF7_mean,Beta_AF8_mean,Beta_TP10_mean,Gamma_TP9_mean,Gamma_AF7_mean,Gamma_AF8_mean,Gamma_TP10_mean,GSR RAW_mean,GSR Resistance CAL_mean,GSR Conductance CAL_mean,ET_GazeLeftx_mean,ET_GazeLefty_mean,ET_GazeRightx_mean,ET_GazeRighty_mean,ET_PupilLeft_mean,ET_PupilRight_mean,ET_TimeSignal_mean,ET_DistanceLeft_mean,ET_DistanceRight_mean,ET_CameraLeftX_mean,ET_CameraLeftY_mean,ET_CameraRightX_mean,ET_CameraRightY_mean,ET_ValidityLeft_mean,ET_ValidityRight_mean,Row_mean,SampleNumber_mean,Anger_mean,Contempt_mean,Disgust_mean,Fear_mean,Joy_mean,Sadness_mean,Surprise_mean,Engagement_mean,Valence_mean,Sentimentality_mean,Confusion_mean,Neutral_mean,Attention_mean,Brow Furrow_mean,Brow Raise_mean,Cheek Raise_mean,Chin Raise_mean,Dimpler_mean,Eye Closure_mean,Eye Widen_mean,Inner Brow Raise_mean,Jaw Drop_mean,Lip Corner Depressor_mean,Lip Press_mean,Lip Pucker_mean,Lip Stretch_mean,Lip Suck_mean,Lid Tighten_mean,Mouth Open_mean,Nose Wrinkle_mean,Smile_mean,Smirk_mean,Upper Lip Raise_mean,Blink_mean,BlinkRate_mean,Pitch_mean,Yaw_mean,Roll_mean,Interocular Distance_mean
1,0.8,10.670374,Male,0.902835663,0.655312953,0.890637821,1.073309957,0.758854237,0.273826409,0.492062986,0.844171966,1.028695194,0.313080274,0.526248829,1.118364833,0.565673702,-0.303737709,-0.114388126,1.338869974,-0.158600529,-0.898878117,-0.576330318,1.174968619,1411.650405,54.93896673,18.26287558,811.0432441,504.2364705,848.8307262,535.0440615,0.149076991,0.248870787,405248.445,530.4380461,539.3841409,0.462192202,0.358579803,0.348432568,0.389330603,0.349708142,0.260762111,4104.4875,4098.4875,0.127903158,0.191972439,0.024102135,0.12971045,0.024053168,0.127466647,0.066522368,0.328932588,0.0,0.012289041,0.004272207,99.61271754,97.43079628,0.004268164,0.171348922,0.015651042,0.001459318,9.15e-05,6.636036959,0.166027471,0.119053657,3.170375115,0.000226784,0.029850262,2.65e-05,3.81e-05,0.000148602,0.022805717,0.130173744,0.001517784,0.000248827,0.004815346,0.001762276,0.00617952,8.233709789,5.919577643,-3.733026087,2.361373021,164.7458021
2,0.666666667,17.24516974,Female,0.595641648,0.39811536,0.178195358,0.679702133,0.479195358,0.117618487,-0.069325619,0.491102737,0.717759995,0.24282717,0.133164475,0.695150899,0.429106622,0.127073216,0.278848818,0.402575224,0.115703797,-0.127390406,0.140365429,0.13110471,18435.8399,143.7704499,6.990797309,808.7039786,445.2051194,814.3481215,472.1213513,0.24026335,0.311496252,472650.7173,575.2650541,589.0029234,0.44285151,0.409501795,0.345586222,0.441249305,0.303368162,0.196032025,4787.121212,4782.121212,0.835288433,0.259537961,0.032820794,3.690315424,0.279663509,0.125125827,2.8180294,2.336731078,0.02715652,0.338011739,0.669889561,92.72555462,97.26816712,2.131153482,10.81544963,0.387449165,0.094710817,0.08577651,1.678650557,34.82348996,0.167426298,1.304952266,0.280136386,1.001441065,0.4927207,0.324871068,0.089493595,0.120713634,1.015911819,1.474977572,0.257694563,0.521458022,0.949613199,0.009048836,10.22383763,-3.858026845,-3.911672098,3.529759853,138.1720017
3,0.69047619,17.92557464,Female,0.937621955,0.521729498,1.257628602,0.797292996,0.628224204,0.201041764,0.83137537,0.602122196,0.765455668,0.201225561,0.799410634,0.787084164,0.411186536,-0.174670306,0.304409368,0.564009925,-0.13905586,-0.506511769,-0.192976305,0.26502035,41129.19543,622.6993451,1.848665656,928.0150723,503.6439591,953.1885689,531.4090897,0.619464148,0.513642197,925945.8945,602.2788965,602.3806504,0.527250735,0.409444724,0.383082758,0.413381506,0.116279804,0.111155725,9376.285714,9371.285714,0.494569443,0.114081302,0.062420451,11.12265223,0.02406926,0.54175656,8.53069392,30.51252786,-0.095547878,0.123203966,1.591449877,81.38875904,98.24125999,0.078775918,24.28946781,0.027587277,0.010845173,0.00030469,0.809387348,24.40085516,33.99899002,10.72085884,0.122665851,0.006364852,1.580064574,7e-05,2.78e-05,0.003535408,37.34684164,0.28735465,0.000176449,0.002927714,0.097798338,0.004904862,5.613881247,7.438386018,1.79155754,2.156700101,143.4630601
4,0.595238095,13.82837992,Female,0.905026064,0.542217966,0.90169658,0.947061023,0.688913431,0.189431512,0.496068573,0.658108688,1.14334585,0.44417303,0.630583832,1.07215254,0.453893475,0.672077473,0.438547401,0.45059808,-0.092695144,0.485218022,0.203656608,-0.028983422,47183.56929,716.0404809,1.401622697,715.4042405,379.815455,684.3900504,385.6422732,0.242026074,0.155277847,553660.9738,605.2514365,553.3544816,0.223472356,0.191144935,0.05127097,0.12499295,0.765054278,0.938085979,5607.130952,5601.130952,0.374799953,0.188343379,0.144184532,0.319157927,0.024092505,0.250828443,0.06092266,9.714488844,-0.112147147,0.036515377,0.063507623,99.01485632,97.47920891,0.013823067,1.073003404,0.035201941,0.327266794,4.11e-05,21.2972925,0.037311745,0.084592445,0.446231898,0.274410435,0.193628295,15.47203916,0.000757431,0.000202695,0.000546145,31.93889458,0.030419909,0.001140858,0.015276688,0.052636454,0.022381932,23.30857037,17.6599224,-3.395108932,1.134760916,119.806452
5,0.886363636,17.67531873,Female,0.749492502,0.702109241,0.805378842,0.87999476,0.594168719,0.459404445,0.474016625,0.609400736,0.707657683,0.557599093,0.570727747,0.755822095,0.630544494,0.136197505,0.154031803,0.547177176,0.34592846,-0.129501631,-0.158058103,0.196008225,19077.17081,98.17130198,10.26494013,778.2750331,485.9762679,802.3277041,494.2531195,0.489219904,0.492041515,848819.4496,603.7039831,596.0232775,0.47491851,0.416056899,0.319405675,0.400076556,0.25790181,0.286317874,8589.284091,8583.284091,0.898504684,0.331987332,0.050604009,12.54282174,0.024728498,0.136681188,11.79004858,15.3887904,-0.523136471,0.627002051,0.195361162,78.98463035,96.25657384,0.123130635,33.89553466,0.382978329,3.825052272,0.13303647,1.457627397,41.09170243,6.61700116,0.557138354,0.048791666,4.128952549,0.328849132,0.575488544,6.978452799,0.229967515,5.640657038,0.488617836,0.04396466,1.344505185,0.083083207,0.019911005,22.78302747,-0.279030636,-5.463291044,1.133436935,148.8813542
6,0.65,33.08019689,Male,0.629102423,-0.167449049,0.194243547,0.588640239,0.393106589,-0.435085914,-0.15142316,0.333333834,0.637303231,-0.232061529,-0.08456164,0.590806669,0.197796402,-0.432877583,-0.311126204,0.19207737,-0.319371461,-0.693954904,-0.592097735,-0.177270004,35025.80767,438.2357833,2.308143111,182.7158709,99.34311981,535.5128246,337.5496189,-0.660619951,0.490465764,656864.1562,117.923491,448.5070392,-0.745439308,-0.758398215,-0.122754591,-0.09311162,3.347886889,1.53481295,6651.525,6645.525,0.238044156,0.255985946,0.079571979,0.189262015,0.024148532,0.171102037,1.803089899,5.357290057,-1.728929461,0.106151135,0.073027539,96.19109261,93.211378,0.070869279,0.781891398,0.084492237,6.218979454,0.929078592,15.61551147,0.19125499,0.276782801,71.49579224,0.12137108,6.444353772,0.00685693,0.524942458,3.792087232,0.017603322,8.446082334,0.007131194,0.00050175,0.539376487,0.012046589,0.005842147,5.061984903,20.17653939,-7.115520224,3.843691238,126.9019236
7,0.657142857,14.74531807,Female,0.777552426,0.555391451,1.009528756,0.673763635,0.559469461,0.246802398,0.638145727,0.528287102,0.779359552,0.245299481,0.562560027,0.754619676,0.499760722,0.034993869,0.051537915,0.519185201,0.171453096,-0.102319603,-0.260854985,0.258669759,19356.52309,86.11861188,11.69109821,808.6753845,493.0537987,832.1912739,493.5393238,0.262410722,0.294868445,647082.1239,597.0823665,598.7679497,0.389387618,0.33880473,0.276376151,0.352542305,0.40910186,0.37222463,6552.7,6546.7,0.078336947,0.126032995,0.013935139,4.05802964,0.024176751,0.857373669,3.807455722,3.406364917,-1.427319984,0.049592093,5.498058448,92.0538198,98.51668923,5.831932117,27.31380051,0.089033503,0.004217082,0.001375357,4.189469571,6.28246978,36.20157806,0.009183707,0.047841926,0.015280359,1.62e-05,0.000237884,0.000331633,0.005960471,0.049892438,0.039364215,0.008858842,0.011308061,0.007447879,0.030442468,34.89506746,11.53898173,-0.657026097,-0.100284207,131.1557341
8,0.714285714,6.956587869,Male,1.010863051,0.413662176,0.568160127,0.930611295,0.695723266,0.059028562,0.177941206,0.652971085,0.844427597,0.127485943,0.273313402,0.809593065,0.579284031,-0.303251452,-0.252247762,0.432118525,0.298408845,-0.654460658,-0.696194389,0.126400576,1600.919558,29.88358819,33.47437019,819.0921859,470.8486054,817.5194788,517.1153728,0.72526747,0.795639046,390838.3957,629.2357381,647.5749251,0.475247437,0.442030332,0.364051782,0.483442658,0.212010935,0.097074759,3958.857143,3952.857143,0.158137093,0.188399578,0.025890221,0.170118208,0.024094844,0.238219064,0.075031352,0.4750192,-0.108343512,0.036768453,0.001322414,99.43027415,98.5439742,0.000931315,1.0909219,0.042811584,0.228081607,0.008843151,0.232405485,5.117969971,0.01689879,0.100142174,0.214501081,0.222179167,1.53e-07,0.005464287,0.004127136,1.82e-05,0.605097103,0.001082771,0.001964666,0.044257946,0.000943713,0.002021711,3.005108392,16.43868234,0.595429457,0.588259427,143.0010468
9,0.763157895,19.03647086,Female,0.991902844,1.298192257,0.621024412,0.842518187,0.678266276,0.876362458,0.270018673,0.570071863,0.820889932,0.874629647,0.394990653,0.742303625,0.504535318,0.376398637,0.699136076,0.483960538,0.214684079,0.154871556,0.704577193,0.221669185,45150.93438,755.6276477,1.42309935,840.623895,479.8596914,884.4559411,517.0143286,0.235111333,0.360089866,669277.0799,552.0889974,559.9861083,0.442689011,0.463886855,0.333686592,0.507000463,0.254451,0.168628067,6777.368421,6771.368421,0.843106674,0.472618464,0.159663637,55.56942941,0.024288821,0.451559305,60.06671204,65.59217263,-1.516439327,3.839245077,0.288571155,26.1324885,98.037368,0.194511233,86.20085905,0.121283079,0.825491477,3.685971821,1.086422586,67.01736151,26.76798009,11.14601211,7.043094626,3.160970056,0.270442726,0.182671166,0.320559003,0.069624751,15.90142119,0.101807316,0.011227374,1.452814448,0.389025141,0.008494278,10.12028837,0.544200853,1.724663676,-0.596752656,150.650391
10,0.394736842,15.02106608,Male,0.818906722,0.642379748,0.728706645,0.818906722,0.624646492,0.32406418,0.386167636,0.818906722,0.833639729,0.419318112,0.45038223,0.818906722,0.502322858,0.235483847,0.205536351,0.818906722,0.099221428,-0.03248412,-0.084886993,-0.084886993,50832.6465,1270.587639,0.824039904,769.1628571,492.7058361,803.5096538,501.7728255,0.066796641,0.578003456,588641.2535,563.4725378,582.3182293,0.423411689,0.322315181,0.333332726,0.37227781,0.451926133,0.322927397,5961.565789,5954.565789,1.604781384,0.183969139,0.024220203,2.300965555,0.024054251,0.146169133,1.186596716,0.328773526,0.0,0.03325145,0.079383879,95.39602156,98.34417113,0.000294088,1.930612876,0.016897296,0.094352676,0.000666138,0.016502766,61.67227401,0.032253804,0.009312956,3.026817827,0.017426488,0.037526265,2.74e-05,3.85e-05,3.59e-05,0.016404424,0.080600873,2.01e-05,0.012970166,0.01282411,0.000242354,0.61508525,7.807486543,-0.757500474,2.440806524,148.3107815
